,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song name,artist,cluster
0,1.665490572510647,-0.40319358689745644,-1.0712293497196521,0.1648185637020323,0.7177405625652733,3.1988013071317503,-0.720132523991901,-0.33205740525356137,2.492561281031355,0.9275300480337265,-0.9392948100853329,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),Madonna,2
1,-0.14890164992887897,0.6977359168208127,0.03313080463050474,0.5361790578011406,0.7177405625652733,-0.3762970054509902,0.28745720117852225,-0.3324644990622482,0.0513595112181633,-1.4103065607998633,-0.3140496897743248,Like a Prayer,Madonna,2
2,0.8652564482032579,1.2809664277191821,-0.7951393111321129,0.678828644423338,0.7177405625652733,0.30013894576855826,-0.9183282231116223,-0.2883967530448423,0.4458219923160267,0.6054811274290994,-0.21060534064164466,4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,2
3,0.12840720502912745,-0.6980854182505646,0.03313080463050474,-2.2437194980264694,0.7177405625652733,-0.34943492796573744,1.0847962206256776,-0.3321355215382236,-0.015624683685247503,-1.1558481543962071,-0.267843159578238,Like a Prayer,Madonna,0
4,0.041252993470896865,-0.5801286857093213,1.1374909589806617,-0.4108884456685429,-1.3932610920384718,-0.19070447009833438,-0.9469944592869844,0.6898985712938327,-0.7851986562422109,-0.8337992337915799,0.41349502329063204,Hung Up,Madonna,2
5,0.7781022366450273,0.9664151409425334,-1.3473193883071914,1.2694686683714433,0.7177405625652733,-0.49107133652434326,0.6244278582067844,-0.33255144312216894,-0.5782919208738977,1.4443986860411528,1.0111619217503731,Material Girl,Madonna,1
6,0.77017912650337,1.025393507213155,-1.3473193883071914,1.6042825741623854,0.7177405625652733,-0.5374694703625073,-0.17765722683231838,-0.3205959045275551,-0.7130045795129794,1.44837459864121,1.0058023805226732,Material Girl - 2024 Remaster,Madonna,1
7,-2.5892195735593333,-0.8488079098310422,-0.7951393111321129,-1.3453807789676746,-1.3932610920384718,-0.290826758907004,-0.2725785386712655,-0.3321609252080325,-0.7211915366678405,-1.974886150007975,-0.05533474818092102,Like a Prayer - Battle Royale Mix from “Deadpool & Wolverine”,Madonna,0
8,0.6354862540951954,0.5666728806638757,-1.0712293497196521,0.8941784335940378,-1.3932610920384718,-0.4813033083478876,0.4772998248564163,-0.3325114958513945,-0.8841864109328067,1.388735909640353,-0.893608623697761,La Isla Bonita,Madonna,2
9,1.0078724307530897,-0.5277034712465466,-0.5190492725445737,-1.647577837128748,-1.3932610920384718,-0.3860650336274459,-0.2441021451195814,-0.3200878311313782,-0.7859429250744709,1.4125913852406957,0.13911773306094283,Like a Virgin,Madonna,2
